date_added,former_vacant_sites,parcel_id,site_area_ha,zone_desc,zone_gzt,zone_orig,plan_n_apps_10yr,plan_n_granted_10yr,plan_live_permission,plan_latest_app_no,plan_latest_status,plan_latest_decision,plan_latest_received,own_is_public,own_bodies,own_folios,own_public_pct,val_n_props,val_total_nav,val_uses,bld_coverage,bld_n_buildings
2022-01-01,,DCC000061434,1.921,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,True,Local Authorities,DN26475F; DN5825N; DN7881N; DN8740F,100.0,0,,,0.0,0
2022-01-01,,DCC000064087,0.126,To provide for and improve neighbourhood facilities.,M3,Z3 - Neighbourhood Centres,0,0,False,,,,,False,,,0.0,1,50000.0,"-, PUB",0.282,1
2022-01-01,,DCC000064088,0.393,To provide for and improve neighbourhood facilities.,M3,Z3 - Neighbourhood Centres,8,2,False,WEB2567/26,Registered Application,,2026-06-24,False,,,0.0,0,,,0.895,4
2022-01-01,VS-0976,DCC000064090,0.089,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,4,2,False,3378/24,Decision Notice Issued,GRANT PERMISSION,2024-03-14,False,,,0.0,1,110000.0,"-, PUB",0.802,3
2022-01-01,,DCC000064091,0.053,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,3,1,False,3213/22,Decision Notice Issued,APPLICATION DECLARED INVA,2022-02-04,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064092,0.131,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,2,1,False,WEB1073/25,Decision Notice Issued,GRANT PERMISSION,2025-01-16,False,,,0.0,0,,,0.005,1
2022-01-01,,DCC000064093,3.197,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,True,Local Authorities,DN10380L; DN44515L; DN44516L,78.52,3,202950.0,"-, OPTICIAN; -, PHARMACY; -, SUPERMARKET 2 [500-2500 SQ. M.]",0.0,0
2022-01-01,,DCC000064094,1.412,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,0,,,0.0,1
2022-01-01,,DCC000064095,0.67,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,1,5450.0,SHEET 20 METROPOLE,0.0,0
2022-01-01,,DCC000064096,0.143,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,2,0,False,3902/24,Appeal Decided,REFUSE PERMISSION,2024-06-25,False,,,0.0,0,,,0.21,1
2022-01-01,,DCC000064097,0.155,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,6,2,False,WEB2037/25,Decision Notice Issued,GRANT PERMISSION,2025-05-13,False,,,0.0,2,48250.0,"-, MOTOR SHOWROOM; YARD, MOTOR SHOWROOM",0.377,5
2022-01-01,,DCC000064098,0.332,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,0,,,0.001,1
2022-01-01,,DCC000064099,0.299,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,False,,,0.0,1,5580.0,"-, WORKSHOP",0.657,10
2022-01-01,VS-0003,DCC000064100,0.123,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,3,1,False,WEB2688/24,Decision Notice Issued,GRANT PERMISSION,2024-12-10,False,,,0.0,0,,,0.027,2
2022-01-01,,DCC000064101,0.161,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,4,3,False,WEB2553/24,Appeal Decided,GRANT PERMISSION,2024-11-21,False,,,0.0,0,,,0.817,5
2022-01-01,,DCC000064102,0.073,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,3,3,False,5457/22,Decision Notice Issued,GRANT PERMISSION,2022-12-16,False,,,0.0,1,10650.0,"-, OFFICE (GEORGIAN / VICTORIAN)",0.289,2
2022-01-01,VS-0117,DCC000064103,0.641,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,True,Local Authorities,DN126611L,98.25,0,,,0.076,6
2022-01-01,,DCC000064104,0.26,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,4,4,False,WEB2144/25,Appeal Decided,GRANT PERMISSION,2025-05-23,False,,,0.0,1,54700.0,"-, BANK",0.476,6
2022-01-01,,DCC000064105,0.214,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,0,0,False,,,,,True,Local Authorities,DN223061F,100.0,1,46400.0,"-, WAREHOUSE",0.79,4
2022-01-01,,DCC000064106,0.07,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,2,1,False,2708/21,Decision Notice Issued,GRANT PERMISSION,2021-04-30,False,,,0.0,2,3770.0,"-, YARD; CAR PARK (OFFICE), -",0.001,1
2022-01-01,,DCC000064107,0.232,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,6,3,False,WEB1481/26,Decision Notice Issued,ADDITIONAL INFORMATION,2026-03-03,False,,,0.0,0,,,0.167,6
2022-01-01,,DCC000064108,0.194,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,7,4,False,WEB2682/26,Registered Application,,2026-07-07,False,,,0.0,0,,,0.002,1
2022-01-01,,DCC000064109,0.1,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,1,0,False,5298/22,Decision Notice Issued,APPLICATION DECLARED INVA,2022-11-28,False,,,0.0,1,1120.0,"-, RIGHT OF TRADING",0.024,2
2022-01-01,,DCC000064110,0.217,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,6,2,False,3987/21,Appeal Decided,REFUSE PERMISSION,2021-12-02,True,"Department of Further and Higher Education, Research, Innovation and Science",,98.51,0,,,0.009,1
2022-01-01,,DCC000064111,0.698,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,5,2,False,3234/25,Decision Notice Issued,REFUSE PERMISSION,2025-05-30,True,"Department of the Environment, Climate and Communications",DN184750F,90.6,2,151700.0,"-, WAREHOUSE; DEMOLISHED / INCAPABLE OF USE",0.469,15
2022-01-01,VS-0019,DCC000064112,0.302,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,0,0,False,,,,,True,"Department of the Environment, Climate and Communications",DN182062F,99.97,0,,,0.825,1
2022-01-01,,DCC000064114,0.077,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,2,2,False,2877/21,Decision Notice Issued,GRANT PERMISSION,2021-06-02,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064115,0.066,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,2,1,False,WEB2729/24,Decision Appealed,GRANT PERMISSION,2024-12-16,False,,,0.0,0,,,0.957,2
2022-01-01,VS-0028,DCC000064116,0.481,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,4,4,False,3405/23,Decision Notice Issued,GRANT PERMISSION,2023-03-20,False,,,0.0,0,,,0.0,0
2022-01-01,VS-0124,DCC000064117,0.479,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,0,0,False,,,,,False,,,0.0,0,,,0.232,3
2022-01-01,VS-0131,DCC000064118,0.105,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,1,0,False,2553/20,Appeal Decided,REFUSE PERMISSION,2020-03-23,False,,,0.0,0,,,0.042,2
2022-01-01,,DCC000064119,0.227,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064120,0.081,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064121,0.055,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,3,3,False,5457/22,Decision Notice Issued,GRANT PERMISSION,2022-12-16,False,,,0.0,0,,,0.767,4
2022-01-01,VS-0043,DCC000064122,0.149,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,1,1,False,3843/19,Decision Notice Issued,GRANT PERMISSION,2019-08-22,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064123,0.319,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064127,0.861,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064128,0.868,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,True,Department of Transport,DN199531F,20.15,0,,,0.034,1
2022-01-01,,DCC000064129,5.532,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),1,1,False,3894/19,Decision Notice Issued,GRANT PERMISSION,2019-08-30,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064130,2.527,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.001,2
2022-01-01,,DCC000064131,0.409,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),2,1,False,WEB5908/25,Decision Notice Issued,REFUSE PERMISSION,2025-12-08,True,Local Authorities,DN131203F,19.29,0,,,0.0,0
2022-01-01,,DCC000064132,3.091,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),3,2,False,3426/20,Decision Notice Issued,GRANT PERMISSION,2020-09-23,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064133,0.225,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064134,0.252,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064136,0.235,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,True,Department of Health,DN13667F,8.56,0,,,0.0,0
2022-01-01,,DCC000064137,0.792,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),1,1,False,4260/19,Decision Notice Issued,GRANT PERMISSION,2019-10-21,False,,,0.0,0,,,0.408,5
2022-01-01,,DCC000064138,1.41,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064139,3.617,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.002,1
2022-01-01,,DCC000064140,5.745,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.071,1
2022-01-01,,DCC000064141,1.303,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064142,10.699,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,True,Local Authorities,DN159618F; DN5825N,50.06,0,,,0.001,1
2022-01-01,VS-0011,DCC000064143,0.767,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,True,Local Authorities,DN151686L; DN198023F,99.19,0,,,0.065,4
2022-01-01,,DCC000064144,0.689,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),1,1,False,WEB1201/26,Decision Notice Issued,GRANT PERMISSION,2026-01-30,True,Local Authorities,DN191451F; DN210529F,95.36,0,,,0.259,3
2022-01-01,,DCC000064145,4.712,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),8,5,False,WEB2163/26,Decision Notice Issued,GRANT PERMISSION,2026-05-13,True,Local Authorities,DN150942F,38.38,0,,,0.268,8
2022-01-01,,DCC000064146,0.134,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),21,15,False,WEBDSDZ2405/26,Registered Application,,2026-06-09,True,Department of Transport,DN165256F,100.0,0,,,0.708,2
2022-01-01,,DCC000064147,1.143,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),2,1,False,WEB1710/25,Decision Notice Issued,GRANT PERMISSION,2025-04-03,False,,,0.0,0,,,0.237,3
2022-01-01,VS-0864,DCC000064149,0.465,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),1,1,False,3577/20,Decision Notice Issued,GRANT PERMISSION,2020-10-16,False,,,0.0,0,,,0.634,3
2022-01-01,,DCC000064150,3.591,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),9,3,False,WEB2618/26,Registered Application,,2026-06-30,False,,,0.0,0,,,0.001,1
2022-01-01,VS-0542,DCC000064151,1.57,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),0,0,False,,,,,False,,,0.0,32,768260.0,"-, WAREHOUSE; -, WORKSHOP; BAKERY, OFFICE; STORE, OFFICE; WAREHOUSE, OFFICE",0.0,0
2022-01-01,,DCC000064152,1.46,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),3,2,False,3349/22,Decision Notice Issued,GRANT PERMISSION,2022-02-23,False,,,0.0,0,,,0.195,10
2022-01-01,,DCC000064153,1.079,To provide for and improve mixed-services facilities.,M3,Z4 - Key Urban Villages/Urban Villages,1,1,False,3372/23,Decision Notice Issued,GRANT PERMISSION,2023-03-14,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064155,0.447,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,1,1,False,3438/20,Decision Notice Issued,GRANT PERMISSION AND RETE,2020-09-23,True,Department of Public Expenditure and Reform,DN247312F,73.81,0,,,0.0,0
2022-01-01,,DCC000064156,0.061,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,1,1,False,4856/22,Appeal Decided,GRANT PERMISSION,2022-09-15,False,,,0.0,0,,,0.085,2
2022-01-01,,DCC000064157,0.077,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,4,2,False,3536/24,Decision Notice Issued,GRANT PERMISSION,2024-04-16,False,,,0.0,1,18150.0,"-, WORKSHOP",0.958,1
2022-01-01,,DCC000064158,0.155,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,1,1,False,5287/22,Decision Notice Issued,GRANT PERMISSION,2022-11-25,False,,,0.0,4,77460.0,"-, OFFICE (GEORGIAN / VICTORIAN); -, POST OFFICE",0.199,5
2022-01-01,,DCC000064159,0.484,To consolidate and facilitate the development of inner city and inner suburban sites for mixed-uses.,M1,Z10 - Inner Suburban and Inner City Sustainable Mixed-Uses,0,0,False,,,,,False,,,0.0,0,,,0.058,1
2022-01-01,,DCC000064160,0.322,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,11,6,False,4009/22,Appeal Decided,GRANT PERMISSION,2022-05-19,False,,,0.0,0,,,0.904,2
2022-01-01,,DCC000064161,0.053,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,1,0,False,3840/19,Appeal Decided,REFUSE PERMISSION,2019-08-22,False,,,0.0,1,40000.0,"CAR PARK (SURFACE), -",0.076,1
2022-01-01,,DCC000064162,0.155,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,3,2,False,WEB2729/24,Decision Appealed,GRANT PERMISSION,2024-12-16,False,,,0.0,1,85000.0,"CAR PARK (SURFACE), -",0.043,3
2022-01-01,,DCC000064163,0.007,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,9,4,False,WEB2790/24,Decision Notice Issued,WITHDRAWN ARTICLE 33 (NO SUB),2024-12-20,False,,,0.0,0,,,0.0,0
2022-01-01,,DCC000064164,0.038,"To seek the social, economic and physical development and/or regeneration of an area with mixed-use, of which residential would be the predominant use.",R3,Z14 - Strategic Development and Regeneration Areas (SDRAs),4,1,False,3002/23,Decision Notice Issued,GRANT PERMISSION,2023-01-03,False,,,0.0,0,,,0.213,3
2022-01-01,,DCC000064165,0.043,"To consolidate and facilitate the development of the central area, and to identify, reinforce, strengthen and protect its civic design character and dignity.",M2,Z5 - City Centre,3,2,False,WEB2502/24,Decision Notice Issued,GRANT PERMISSION,2024-11-14,False,,,0.0,0,,,0.003,1
